timestamp,alpha0,beta0,gamma0,delta0,theta0,alpha1,beta1,gamma1,delta1,theta1,alpha2,beta2,gamma2,delta2,theta2,alpha3,beta3,gamma3,delta3,theta3,concentration
1543422267,3.4675612816506245,1.7063308014555627,0.7791873569887738,5.281193058581104,4.8482728198605525,1.534570189432736,0.9973828503302661,0.3862749719673741,2.7664468065789736,2.3110067636697353,0.621028234657169,0.7317981769432238,0.5258111349992876,2.3367739558727845,1.704058055039191,1.1966333028677918,1.9266096665819323,1.0388957405305388,6.101943496378723,4.168276414757715,0.7
1543422267,3.5876575913793416,1.3725291064778689,0.8025396970071537,2.9545749630405407,5.894353128255801,1.305973511339924,0.5844564188138914,0.3263042498048369,1.416762483330884,2.293020710496908,1.7318541412085893,0.7074628622181584,0.31508773942193974,2.5010645547641124,1.5199773073439538,4.0606716427041265,1.6531426632974668,1.0072200378096077,2.3787228074570135,4.499886194474634,0.7
1543422268,3.914474797903214,1.5928905228297725,0.6898375652205402,5.021022040377892,4.558027711455114,1.1980814721989295,0.7867877255819228,0.37907147211805886,1.855844974036219,1.9050284183176018,1.461482493004252,0.7757737314325461,0.45418503381812075,2.1739651198483902,3.1468069795645084,3.8685675125400394,1.8220153200444773,1.0253821926298996,6.388333052706292,4.854848731625154,0.7
1543422268,3.712673619987959,1.5698494804759189,0.8503654490872179,10.68470161356985,8.115717714233718,3.710342242404922,1.1454803486813199,0.39210500311757773,8.786139514662683,5.788866302412769,2.924604622880327,0.957403361757265,0.3914152367073223,9.696644243927828,6.98062554383804,2.244320639359675,1.5872611779589554,0.9764426592014369,4.0002885513417645,2.870662715827091,0.7
1543422269,8.65534781376624,1.9825583746463957,0.9285970462790674,19.756037785521634,14.437221847749697,2.1398358984003036,0.796497934364083,0.35792626970903063,12.011058067831206,7.08256926815922,2.4968398994890966,0.9835088034611486,0.5080960359526255,6.629741554328199,3.5808939999777802,6.420466630130005,1.8190832702866717,1.1199337383790267,13.800257769611694,10.526117861438737,0.7
1543422269,5.1255398561042895,1.2742843926173744,0.821131911106326,6.6727540380411945,5.17019146056565,2.315278482271548,1.1838438022612203,0.41031079917763874,8.12537199464974,5.37333260393312,1.9540038081845355,1.144822974461446,0.4063474570072965,7.138370090449262,4.582169133965357,5.016397620063835,1.53051050706675,1.0193044532230597,3.6335988364547704,4.670452511109346,0.7
1543422270,2.503285790296322,1.0850810698000553,0.803823089097282,2.3978173381369516,3.9542489387274657,1.6077244767191712,0.8506314009940978,0.3141043324334158,2.2988735610564834,3.1215891192471608,2.0590103882741713,1.3099088293235015,0.3183757602399938,0.8366670939549804,2.171575590121824,2.5736415355280005,1.4442257306380255,1.0037909147165989,2.5874546048723523,2.8879210665601347,0.7
1543422270,3.109244051496527,1.1916701192300292,0.8076809312368052,3.466189680721638,3.804026510082437,1.1855401907476766,0.6154915069084267,0.45997922432144206,3.9297991817866773,3.7939462675781694,2.9876217961118274,0.944936147881513,0.3511516339473414,3.2335365739770676,3.226031126931813,4.66885275683644,1.0359662510158445,0.9557388243606497,6.646155064937435,5.95641652389309,0.7
1543422271,1.506226739991578,1.052092092028513,0.6943367086158616,6.2464877500035065,1.5989398465688407,2.367961039665456,1.24951757806523,0.3840943957898565,5.61902090155967,1.7568360402058865,2.326763411602133,0.9261508186647277,0.3562374986669085,5.357321603204756,3.4297427800814058,1.9730065339660585,1.202090247425045,0.879995408844861,7.763790809115286,5.217969558624631,0.7
1543422271,2.33511006178399,1.104696818077105,0.8182884351503641,3.686642902246276,3.515576874464214,1.6754673515034517,0.7937284753966417,0.29522303941458383,0.786984082477646,2.633325748647929,1.4721574915148066,0.7200828813327249,0.40239909501673676,1.4733746424564498,2.3835535416780718,3.8103244578195743,1.4185008097392806,0.968844261875662,2.5821592119220345,2.0575620074006444,0.7
1543422272,2.852329309319279,1.1364407623167598,0.883548396116053,4.886985732471798,5.304393819813251,2.7261742203540273,0.8674806504068903,0.3029161377065444,7.69199228240443,4.475917004627668,2.6004646648988676,0.8507079919467351,0.37823895178941724,4.8932404251195525,4.214769115683067,3.0148445360676313,0.9222268795545941,0.9060090876048676,6.742525255414051,7.3112220769721645,0.7
1543422272,4.865010900241298,1.5750531083726658,0.7481698745650359,4.503945237156582,3.4551757444456244,2.624718590532127,0.7151805524729086,0.32718855629608995,2.98455217306564,2.018412717223834,1.725868818668759,1.3336783114983657,0.41106657417434017,1.2041007209220602,0.8567368528502639,3.2297114801319906,1.526599525178436,0.9027294422011292,4.247379185548423,4.216558041979261,0.7
1543422273,4.883877167916197,1.8465932971144123,0.8209273897433715,15.719471082264366,10.621812346631428,1.5289761315077115,0.8330643917445378,0.35712396658408063,3.7679829702959533,4.165109939640576,1.1519208316697427,0.7310948661280487,0.38977308303627706,5.049006808211473,4.1520372778134895,5.550765060823682,1.3994523076019183,1.052273653303368,20.3798961629357,14.48428582650114,0.7
1543422273,2.4253109698279727,2.2360482857847996,0.7306744752281865,3.051035591937817,3.4121022071115434,2.1494276818816846,0.813734878075938,0.3497597515349194,7.980432430855513,4.209388080381574,2.5697988569869596,1.0209479055563304,0.3750613629577856,3.9429121481568767,3.7545629650857517,4.442954526211069,2.4027837350113916,0.9570496326839272,9.33747593419126,8.118709971890153,0.7
1543422274,4.4078676158448244,2.063920937724097,0.8800019120776502,4.43935592252502,3.1371332463682133,4.301193346304235,0.8116713524902274,0.4097268071129395,6.212521408869277,5.867487006816288,2.307330940012156,0.697891973538173,0.3801711738217123,5.145621175450614,3.415393344219771,5.255569549650412,1.7057454671441852,1.0052052827283928,1.789839388840123,3.2494765426040395,0.7
1543422274,3.6236918965145724,1.6667955949756077,0.9555843050244972,2.3812894758328,4.533055007883667,2.5294068138748584,0.6481258264564693,0.3309066041371874,5.7424691289440455,3.944689272930459,2.3842204538953027,1.0826541109759849,0.34845626095264326,4.71342274234968,3.879880681647657,3.1831390693533046,1.4475872964319667,1.0328577621319943,5.429742469737423,4.754437527081846,0.7
1543422275,1.1735617009564525,1.8645338453917075,0.8498549980486622,2.873026915721081,4.11605240003146,1.3247008541706933,0.7684136583061707,0.2905607107757087,1.2818236663525004,1.5919390970937104,1.8247322291345316,0.7565681747316239,0.3450264680698138,0.7892475399090709,1.4435172054068623,1.9662611451947167,1.3718097386506605,1.2843191465697008,5.661065036298557,4.436353160748254,0.7
1543422275,3.363276444208834,1.7266850355651375,0.9811937570030259,6.394787717793202,3.311148033749521,2.4100304553484966,0.8529319785676507,0.38484914752918314,4.435282459536183,2.8246291571953286,2.112930407591088,0.6590150852793925,0.34845476351664545,5.06957465486111,4.356124375014249,3.682520706133687,1.1090075679028728,1.2793661004549461,6.748699376012106,4.738136377149868,0.7
